x1,y1,z1,x2,y2,z2,x_slice,y_slice,depth_slice,z,c_z
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.119974,0.865849,-1000,0,1548.521015
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.117530,1.052273,-998.819065,-10.103265,1548.521015
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.115086,1.238697,-998.819065,-20.206530,1548.521015
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.112643,1.425120,-998.819065,-30.309796,1535.924853
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.110199,1.611544,-998.819065,-40.413061,1535.924853
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.107755,1.797968,-998.819065,-50.516326,1535.924853
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.105312,1.984391,-998.819065,-60.619591,1535.924853
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.102868,2.170815,-999.516328,-70.722857,1535.924853
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.100424,2.357239,-999.516328,-80.826122,1526.012773
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.097981,2.543663,-999.516328,-90.929387,1526.012773
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.095537,2.730086,-999.516328,-101.032652,1526.012773
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.093093,2.916510,-999.516328,-111.135917,1526.012773
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.090650,3.102934,-1000.223257,-121.239183,1526.012773
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.088206,3.289357,-1000.223257,-131.342448,1518.298236
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.085762,3.475781,-1000.223257,-141.445713,1518.298236
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.083319,3.662205,-1000.223257,-151.548978,1518.298236
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.080875,3.848628,-1000.223257,-161.652244,1518.298236
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.078431,4.035052,-996.284540,-171.755509,1518.298236
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.075988,4.221476,-996.284540,-181.858774,1512.382893
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.073544,4.407900,-996.284540,-191.962039,1512.382893
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.071100,4.594323,-996.284540,-202.065304,1512.382893
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.068657,4.780747,-996.284540,-212.168570,1512.382893
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.066213,4.967171,-996.284540,-222.271835,1512.382893
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.063769,5.153594,-996.000458,-232.375100,1507.940606
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.061326,5.340018,-996.000458,-242.478365,1507.940606
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.058882,5.526442,-996.000458,-252.581631,1507.940606
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.056438,5.712865,-996.000458,-262.684896,1507.940606
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.053995,5.899289,-996.000458,-272.788161,1507.940606
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.051551,6.085713,-995.837507,-282.891426,1504.704355
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.049107,6.272137,-995.837507,-292.994691,1504.704355
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.046663,6.458560,-995.837507,-303.097957,1504.704355
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.044220,6.644984,-995.837507,-313.201222,1504.704355
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.041776,6.831408,-995.837507,-323.304487,1504.704355
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.039332,7.017831,-992.392414,-333.407752,1502.455523
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.036889,7.204255,-992.392414,-343.511018,1502.455523
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.034445,7.390679,-992.392414,-353.614283,1502.455523
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.032001,7.577102,-992.392414,-363.717548,1502.455523
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.029558,7.763526,-992.392414,-373.820813,1502.455523
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.027114,7.949950,-992.392414,-383.924079,1501.015122
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.024670,8.136374,-992.416908,-394.027344,1501.015122
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.022227,8.322797,-992.416908,-404.130609,1501.015122
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.019783,8.509221,-992.416908,-414.233874,1501.015122
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.017339,8.695645,-992.416908,-424.337139,1501.015122
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.014896,8.882068,-992.416908,-434.440405,1500.236607
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.012452,9.068492,-992.483859,-444.543670,1500.236607
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.010008,9.254916,-992.483859,-454.646935,1500.236607
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.007565,9.441339,-992.483859,-464.750200,1500.236607
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.005121,9.627763,-992.483859,-474.853466,1500.236607
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.002677,9.814187,-992.483859,-484.956731,1500
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,0.000234,10.000611,-994.643423,-495.059996,1500
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.002210,10.187034,-996.638109,-505.163261,1500
